"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"afg",1,"Asie","Afghanistan","Afghanistan",653000,653000,31100000,31900000,32700000,28400000,29100000,32400000,33400000,30600000,30600000,32200000,33300000,34200000,34900000,38000000,38900000,39800000,41100000,42200000,42600000,48,48.85,50.08,43.49,44.56,49.620000000000005,51.15,46.86,46.86,49.31,51.,52.370000000000005,53.45,58.19,59.57,60.95,62.940000000000005,64.62,65.24
"zaf",2,"Afrique","South Africa","Afrique du Sud",1222000,1222000,47300000,47900000,48300000,50700000,50500000,50500000,50700000,53000000,53000000,55000000,55000000,55400000,57400000,58600000,59300000,60000000,58900000,60400000,64000000,39,39.2,39.53,41.49,41.33,41.33,41.49,43.37,43.37,45.01,45.01,45.34,46.97,47.95,48.53,49.1,48.2,49.43,52.370000000000005
"alb",3,"Europe","Albania","Albanie",29000,29000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2900000,2870000,2800000,2800000,2700000,110,110.34,110.34,110.34,110.34,110.34,110.34,96.55,96.55,100.,100.,100.,100.,100.,100.,98.97,96.55,96.55,93.10000000000001
"dza",4,"Afrique","Algeria","Algérie",2384000,2384000,33500000,34100000,34700000,35400000,35400000,36000000,36500000,38300000,38300000,39900000,40400000,41100000,42000000,43100000,43100000,44600000,44900000,45600000,46800000,14,14.3,14.56,14.85,14.85,15.1,15.31,16.07,16.07,16.740000000000002,16.95,17.240000000000002,17.62,18.080000000000002,18.080000000000002,18.71,18.830000000000002,19.13,19.63
"deu",5,"Europe","Germany","Allemagne",357000,357000,82400000,82300000,82200000,82000000,82000000,81800000,82000000,80600000,80600000,81100000,80700000,80600000,82300000,83500000,83800000,83800000,83400000,83300000,84500000,231,230.53,230.25,229.69,229.69,229.13,229.69,225.77,225.77,227.17000000000002,226.05,225.77,230.53,233.89000000000001,234.73000000000002,234.73000000000002,233.61,233.33,236.69
"and",6,"Europe","Andorra","Andorre",468,468,,,,,,,,78000,79000,80000,80000,80000,76965,80000,80000,77000,78000,80000,80000,,,,,,,,166.67000000000002,168.8,170.94,170.94,170.94,164.46,170.94,170.94,164.53,166.67000000000002,170.94,170.94
"ago",7,"Afrique","Angola","Angola",1248000,1248000,15800000,16300000,16800000,17100000,19000000,19600000,20200000,21600000,21600000,25000000,25800000,26700000,30800000,31800000,32900000,33900000,35600000,36600000,37800000,13,13.06,13.46,13.700000000000001,15.22,15.71,16.19,17.31,17.31,20.03,20.67,21.39,24.68,25.48,26.36,27.16,28.53,29.330000000000002,30.29
"atg",8,"Amérique","Antigua and Barbuda","Antigua-et-Barbuda",442,442,,,,,,,,90000,90000,90000,93000,94000,103000,97000,98000,99000,94000,94000,94000,,,,,,,,203.62,203.62,203.62,210.41,212.67000000000002,233.03,219.46,221.72,223.98000000000002,212.67000000000002,212.67000000000002,212.67000000000002
"sau",9,"Asie","Saudi Arabia","Arabie Saoudite",2152000,2152000,24100000,27600000,28100000,28700000,26200000,27900000,28700000,30100000,30100000,31600000,32100000,32700000,33500000,34300000,34800000,35300000,36400000,36900000,33900000,11,12.83,13.06,13.34,12.17,12.96,13.34,13.99,13.99,14.68,14.92,15.200000000000001,15.57,15.94,16.17,16.4,16.91,17.150000000000002,15.75
"arg",10,"Amérique","Argentina","Argentine",2784000,2784000,39000000,39400000,39700000,40300000,40700000,40500000,41100000,41300000,41300000,42400000,43800000,44300000,44700000,44800000,45200000,45600000,45500000,45700000,45600000,14,14.15,14.26,14.48,14.620000000000001,14.55,14.76,14.83,14.83,15.23,15.73,15.91,16.06,16.09,16.240000000000002,16.38,16.34,16.42,16.38
"arm",11,"Asie","Armenia","Arménie",30000,30000,3000000,3000000,3100000,3100000,3100000,3100000,3100000,3000000,3000000,3000000,3000000,3000000,2900000,3000000,3000000,2900000,2800000,2700000,2900000,100,100.,103.33,103.33,103.33,103.33,103.33,100.,100.,100.,100.,100.,96.67,100.,100.,96.67,93.33,90.,96.67
"aus",12,"Océanie","Australia","Australie",7750000,7750000,20600000,21000000,21300000,21900000,21500000,22700000,22900000,23100000,21300000,23900000,24300000,24600000,24800000,25200000,25500000,25700000,26200000,31600000,26700000,3,2.71,2.75,2.83,2.77,2.93,2.95,2.98,2.75,3.08,3.14,3.17,3.2,3.25,3.29,3.3200000000000003,3.38,4.08,3.45
"aut",13,"Europe","Austria","Autriche",84000,84000,8300000,8300000,8400000,8400000,8400000,8400000,8400000,8500000,8500000,8600000,8600000,8600000,8700000,9000000,9000000,9000000,9000000,9000000,9100000,99,98.81,100.,100.,100.,100.,100.,101.19,101.19,102.38,102.38,102.38,103.57000000000001,107.14,107.14,107.14,107.14,107.14,108.33
"aze",14,"Asie","Azerbaijan","Azerbaïdjan",87000,87000,8500000,8600000,8700000,8800000,8900000,9200000,9400000,9400000,9400000,9700000,9900000,10000000,9900000,10000000,10200000,10200000,10400000,10400000,10300000,98,98.85000000000001,100.,101.15,102.3,105.75,108.05,108.05,108.05,111.49000000000001,113.79,114.94,113.79,114.94,117.24000000000001,117.24000000000001,119.54,119.54,118.39
"bhs",15,"Amérique","Bahamas","Bahamas",14000,14000,300000,300000,300000,300000,300000,400000,400000,350000,350000,380000,393000,397000,399000,389000,393000,397000,410000,413000,401000,21,21.43,21.43,21.43,21.43,28.57,28.57,25.,25.,27.14,28.07,28.36,28.5,27.79,28.07,28.36,29.29,29.5,28.64
"bhr",16,"Asie","Bahrain","Bahreïn",700,700,700000,800000,800000,1200000,800000,1300000,1400000,1100000,1100000,1400000,1400000,1400000,1600000,1600000,1700000,1700000,1400000,1500000,1600000,1000,1142.8600000000001,1142.8600000000001,1714.29,1142.8600000000001,1857.14,2000.,1571.43,1571.43,2000.,2000.,2000.,2285.71,2285.71,2428.57,2428.57,2000.,2142.86,2285.71
"bgd",17,"Asie","Bangladesh","Bangladesh",144000,144000,146600000,149000000,147300000,162200000,164400000,150700000,152400000,156600000,156600000,160400000,162900000,164800000,166700000,163000000,164700000,166300000,171200000,173000000,173500000,1018,1034.72,1022.9200000000001,1126.39,1141.67,1046.53,1058.33,1087.5,1087.5,1113.89,1131.25,1144.44,1157.64,1131.94,1143.75,1154.8600000000001,1188.89,1201.39,1204.8600000000001
"bel",18,"Europe","Belgium","Belgique",31000,31000,10500000,10600000,10700000,10800000,10700000,11000000,10800000,11200000,11200000,11200000,11400000,11400000,11500000,11500000,11600000,11600000,11700000,11600000,11700000,339,341.94,345.16,348.39,345.16,354.84000000000003,348.39,361.29,361.29,361.29,367.74,367.74,370.97,370.97,374.19,374.19,377.42,374.19,377.42
"blz",19,"Amérique","Belize","Belize",23000,23000,300000,300000,300000,300000,300000,300000,300000,330000,330000,370000,367000,375000,382000,390000,398000,405000,405000,411000,417000,13,13.040000000000001,13.040000000000001,13.040000000000001,13.040000000000001,13.040000000000001,13.040000000000001,14.35,14.35,16.09,15.96,16.3,16.61,16.96,17.3,17.61,17.61,17.87,18.13
"ben",20,"Afrique","Benin","Bénin",113000,113000,8700000,9000000,9300000,8900000,9200000,9100000,9400000,9600000,9600000,10600000,11200000,11500000,11500000,11800000,12100000,12400000,17500000,13700000,14400000,77,79.65,82.3,78.76,81.42,80.53,83.19,84.96000000000001,84.96000000000001,93.81,99.12,101.77,101.77,104.42,107.08,109.73,154.87,121.24000000000001,127.43
"btn",21,"Asie","Bhutan","Bhoutan",47000,47000,900000,900000,700000,700000,700000,700000,800000,700000,700000,800000,784000,793000,801000,800000,800000,780000,780000,787000,792000,19,19.150000000000002,14.89,14.89,14.89,14.89,17.02,14.89,14.89,17.02,16.68,16.87,17.04,17.02,17.02,16.6,16.6,16.740000000000002,16.85
"blr",22,"Europe","Belarus","Biélorussie",208000,208000,9700000,9700000,9700000,9700000,9600000,9500000,9500000,9500000,9500000,9500000,9500000,9500000,9400000,9500000,9400000,9400000,9500000,9500000,9000000,47,46.63,46.63,46.63,46.15,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.19,45.67,45.19,45.19,45.67,45.67,43.27
"bol",23,"Amérique","Bolivia","Bolivie",1100000,1100000,9100000,9800000,10000000,9900000,10000000,10100000,10200000,11000000,11000000,10500000,10800000,11100000,11200000,11500000,11700000,11800000,12200000,12300000,12400000,8,8.91,9.09,9.,9.09,9.18,9.27,10.,10.,9.55,9.82,10.09,10.18,10.450000000000001,10.64,10.73,11.09,11.18,11.27
"bih",24,"Europe","Bosnia and Herzegovina","Bosnie-Herzégovine",51000,51000,3900000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,3700000,3800000,3800000,3500000,3300000,3300000,3200000,3200000,3200000,3100000,76,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,72.55,74.51,74.51,68.63,64.71000000000001,64.71000000000001,62.75,62.75,62.75,60.78
"bwa",25,"Afrique","Botswana","Botswana",582000,582000,1800000,1800000,1800000,2000000,2000000,2000000,2100000,1900000,1900000,2100000,2300000,2300000,2300000,2300000,2300000,2300000,2600000,2600000,2500000,3,3.09,3.09,3.44,3.44,3.44,3.61,3.2600000000000002,3.2600000000000002,3.61,3.95,3.95,3.95,3.95,3.95,3.95,4.47,4.47,4.3
"bra",26,"Amérique","Brazil","Brésil",8557000,8557000,186800000,189300000,195100000,195100000,195400000,196700000,198400000,195500000,195500000,204500000,209600000,211200000,212900000,211100000,212500000,213900000,215300000,216400000,211900000,22,22.12,22.8,22.8,22.84,22.990000000000002,23.19,22.85,22.85,23.900000000000002,24.490000000000002,24.68,24.88,24.67,24.830000000000002,25.,25.16,25.29,24.76
"brn",27,"Asie","Brunei","Brunei",6000,6000,400000,400000,400000,400000,400000,400000,400000,410000,410000,410000,429000,434000,434000,430000,437000,442000,450000,453000,463000,67,66.67,66.67,66.67,66.67,66.67,66.67,68.33,68.33,68.33,71.5,72.33,72.33,71.67,72.83,73.67,75.,75.5,77.17
"bgr",28,"Europe","Bulgaria","Bulgarie",111000,111000,7700000,7700000,7600000,7600000,7500000,7500000,7400000,7300000,7300000,7200000,7100000,7000000,7000000,7000000,7000000,6900000,6800000,6600000,6700000,69,69.37,68.47,68.47,67.57000000000001,67.57000000000001,66.67,65.77,65.77,64.86,63.96,63.06,63.06,63.06,63.06,62.160000000000004,61.26,59.46,60.36
"bfa",29,"Afrique","Burkina Faso","Burkina Faso",274000,274000,13600000,14800000,15200000,15800000,16300000,17000000,17500000,18000000,18000000,18500000,18600000,19200000,19700000,20300000,21000000,21400000,22600000,23200000,23500000,50,54.01,55.47,57.660000000000004,59.49,62.04,63.870000000000005,65.69,65.69,67.52,67.88,70.07000000000001,71.9,74.09,76.64,78.10000000000001,82.48,84.67,85.77
"bdi",30,"Afrique","Burundi","Burundi",28000,28000,7800000,8500000,8900000,8300000,8500000,10200000,8700000,10900000,10900000,10700000,11500000,12000000,11200000,11500000,11900000,12200000,12900000,13200000,14000000,279,303.57,317.86,296.43,303.57,364.29,310.71,389.29,389.29,382.14,410.71000000000004,428.57,400.,410.71000000000004,425.,435.71000000000004,460.71000000000004,471.43,500.
"khm",31,"Asie","Cambodia","Cambodge",181000,181000,14100000,14400000,14700000,14800000,15000000,14700000,14500000,14400000,14400000,15400000,15800000,16100000,16200000,16500000,16700000,16900000,16800000,16900000,17600000,78,79.56,81.22,81.77,82.87,81.22,80.11,79.56,79.56,85.08,87.29,88.95,89.5,91.16,92.27,93.37,92.82000000000001,93.37,97.24000000000001
"cmr",32,"Afrique","Cameroon","Cameroun",476000,476000,17300000,18100000,18500000,18900000,19900000,20100000,20500000,21500000,21500000,23700000,23900000,24500000,24700000,25900000,26500000,27200000,27900000,28600000,29100000,36,38.03,38.87,39.71,41.81,42.230000000000004,43.07,45.17,45.17,49.79,50.21,51.47,51.89,54.410000000000004,55.67,57.14,58.61,60.08,61.13
"can",33,"Amérique","Canada","Canada",9982000,9982000,32600000,32900000,33300000,33700000,33900000,34500000,34700000,35300000,35300000,35800000,36300000,36600000,37000000,37400000,37700000,38000000,38400000,38700000,39700000,3,3.3000000000000003,3.34,3.38,3.4,3.46,3.48,3.54,3.54,3.59,3.64,3.67,3.71,3.75,3.7800000000000002,3.81,3.85,3.88,3.98
"cpv",34,"Afrique","Cape Verde","Cap-Vert",4000,4000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,527000,533000,553000,500000,560000,562000,593000,599000,525000,125,125.,125.,125.,125.,125.,125.,125.,125.,125.,131.75,133.25,138.25,125.,140.,140.5,148.25,149.75,131.25
"chl",35,"Amérique","Chile","Chili",757000,757000,16400000,16600000,16800000,17000000,17100000,17300000,17400000,17600000,17600000,18000000,18000000,18300000,18500000,19000000,19100000,19200000,19600000,19600000,19700000,22,21.93,22.19,22.46,22.59,22.85,22.990000000000002,23.25,23.25,23.78,23.78,24.17,24.44,25.1,25.23,25.36,25.89,25.89,26.02
"chn",36,"Asie","China","Chine",9584000,9584000,1311400000,1318000000,1325000000,1338000000,1354000000,1353000000,1354000000,1360000000,1360000000,1370000000,1380000000,1390000000,1410000000,1430000000,1440000000,1440000000,1420000000,1426000000,1400000000,137,137.52,138.25,139.61,141.28,141.17000000000002,141.28,141.9,141.9,142.95000000000002,143.99,145.03,147.12,149.21,150.25,150.25,148.16,148.79,146.08
"cyp",37,"Europe","Cyprus","Chypre",9000,9000,1000000,1000000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1300000,111,111.11,122.22,122.22,122.22,122.22,122.22,122.22,122.22,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,133.33,144.44
"col",38,"Amérique","Colombia","Colombie",1140000,1140000,46800000,46200000,44400000,45100000,46300000,46900000,47600000,48000000,48000000,48200000,48600000,49100000,49500000,50300000,50900000,51200000,51800000,52000000,52800000,41,40.53,38.95,39.56,40.61,41.14,41.75,42.11,42.11,42.28,42.63,43.07,43.42,44.12,44.65,44.910000000000004,45.44,45.61,46.32
"com",39,"Afrique","Comoros","Comores",2200,2200,700000,700000,700000,700000,700000,800000,800000,800000,800000,800000,807000,826000,832000,900000,900000,888000,837000,852000,867000,318,318.18,318.18,318.18,318.18,363.64,363.64,363.64,363.64,363.64,366.82,375.45,378.18,409.09000000000003,409.09000000000003,403.64,380.45,387.27,394.09000000000003
"cog",40,"Afrique","Republic of the Congo","Congo",342000,342000,3700000,3800000,3800000,3700000,3800000,4100000,4200000,4400000,4400000,4800000,4700000,4900000,5400000,5400000,5500000,5600000,6000000,6100000,6300000,11,11.11,11.11,10.82,11.11,11.99,12.280000000000001,12.870000000000001,12.870000000000001,14.040000000000001,13.74,14.33,15.790000000000001,15.790000000000001,16.080000000000002,16.37,17.54,17.84,18.42
"prk",41,"Asie","North Korea","Corée du Nord",121000,121000,23100000,23300000,23500000,22700000,24000000,24500000,24600000,24700000,24700000,25000000,25300000,25400000,25600000,25700000,25700000,25800000,26100000,26100000,26400000,191,192.56,194.21,187.6,198.35,202.48000000000002,203.31,204.13,204.13,206.61,209.09,209.92000000000002,211.57,212.4,212.4,213.22,215.70000000000002,215.70000000000002,218.18
"kor",42,"Asie","South Korea","Corée du Sud",99000,99000,48500000,48500000,48600000,48700000,48500000,49000000,48600000,50200000,50200000,50700000,50500000,50700000,51200000,51200000,51300000,51300000,51800000,51800000,51700000,490,489.90000000000003,490.91,491.92,489.90000000000003,494.95,490.91,507.07,507.07,512.12,510.1,512.12,517.17,517.17,518.1800000000001,518.1800000000001,523.23,523.23,522.22
"cri",43,"Amérique","Costa Rica","Costa Rica",51000,51000,4300000,4500000,4500000,4500000,4600000,4700000,4800000,4700000,4700000,4800000,4800000,4900000,4900000,5000000,5000000,5100000,5200000,5200000,5100000,84,88.24,88.24,88.24,90.2,92.16,94.12,92.16,92.16,94.12,94.12,96.08,96.08,98.04,98.04,100.,101.96000000000001,101.96000000000001,100.
"civ",44,"Afrique","Cote d'Ivoire","Côte d'Ivoire",323000,323000,19700000,20200000,20700000,21400000,21600000,22600000,20600000,21100000,21100000,23300000,23300000,23800000,24900000,25700000,26400000,27000000,28200000,28800000,31900000,61,62.54,64.09,66.25,66.87,69.97,63.78,65.33,65.33,72.14,72.14,73.68,77.09,79.57000000000001,81.73,83.59,87.31,89.16,98.76
"hrv",45,"Europe","Croatia","Croatie",57000,57000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4300000,4300000,4200000,4200000,4200000,4200000,4100000,4200000,4000000,4000000,4000000,3800000,77,77.19,77.19,77.19,77.19,77.19,77.19,75.44,75.44,73.68,73.68,73.68,73.68,71.93,73.68,70.18,70.18,70.18,66.67
"cub",46,"Amérique","Cuba","Cuba",111000,111000,11300000,11200000,11200000,11200000,11200000,11200000,11200000,11300000,11300000,11100000,11400000,11400000,11500000,11300000,11300000,11300000,11200000,11200000,10900000,102,100.9,100.9,100.9,100.9,100.9,100.9,101.8,101.8,100.,102.7,102.7,103.60000000000001,101.8,101.8,101.8,100.9,100.9,98.2
"dnk",47,"Europe","Denmark","Danemark",43000,43000,5400000,5500000,5500000,5500000,5500000,5600000,5600000,5600000,5600000,5700000,5700000,5700000,5700000,5800000,5800000,5800000,5900000,5900000,5900000,126,127.91,127.91,127.91,127.91,130.23,130.23,130.23,130.23,132.56,132.56,132.56,132.56,134.88,134.88,134.88,137.21,137.21,137.21
"dji",48,"Afrique","Djibouti","Djibouti",23000,23000,800000,800000,800000,900000,900000,900000,900000,900000,900000,900000,900000,911000,971000,1000000,1000000,1000000,1100000,1100000,1100000,35,34.78,34.78,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.61,42.22,43.480000000000004,43.480000000000004,43.480000000000004,47.83,47.83,47.83
"dma",49,"Amérique","Dominica","Dominique",49000,49000,,,,,,,,,10300000,70000,70000,70000,73543,73543,73543,72000,72000,72000,72500,,,,,,,,,210.20000000000002,1.43,1.43,1.43,1.5,1.5,1.5,1.47,1.47,1.47,1.48
"egy",50,"Afrique","Egypt","Égypte",1003000,1003000,75400000,73400000,74900000,78600000,84500000,82600000,84000000,84700000,84700000,89100000,93400000,95200000,99400000,100400000,102300000,104500000,111000000,112700000,116500000,75,73.18,74.68,78.36,84.25,82.35000000000001,83.75,84.45,84.45,88.83,93.12,94.92,99.10000000000001,100.10000000000001,101.99000000000001,104.19,110.67,112.36,116.15
"are",51,"Asie","United Arab Emirates","Émirats arabes unis",84000,84000,4900000,4400000,4500000,5100000,4700000,8100000,8100000,9300000,9300000,9600000,9300000,9400000,9500000,9800000,9900000,9900000,9400000,9500000,11000000,58,52.38,53.57,60.71,55.95,96.43,96.43,110.71000000000001,110.71000000000001,114.29,110.71000000000001,111.9,113.10000000000001,116.67,117.86,117.86,111.9,113.10000000000001,130.95
"ecu",52,"Amérique","Ecuador","Équateur",284000,284000,13300000,13500000,13800000,13600000,13800000,14700000,14900000,15800000,15800000,16300000,16400000,16600000,16900000,17400000,17600000,17800000,18000000,18100000,18100000,47,47.54,48.59,47.89,48.59,51.76,52.46,55.63,55.63,57.39,57.75,58.45,59.51,61.27,61.97,62.68,63.38,63.730000000000004,63.730000000000004
"eri",53,"Afrique","Eritrea","Érythrée",118000,118000,4600000,4900000,5000000,5100000,5200000,5900000,5600000,5800000,5800000,5200000,5300000,5500000,5200000,3500000,3500000,3600000,3700000,3700000,3500000,39,41.53,42.37,43.22,44.07,50.,47.46,49.15,49.15,44.07,44.92,46.61,44.07,29.66,29.66,30.51,31.36,31.36,29.66
"esp",54,"Europe","Spain","Espagne",507000,507000,45500000,45300000,46500000,46900000,45300000,46200000,46700000,46600000,46600000,46400000,46100000,46100000,46400000,46700000,46700000,46700000,47600000,47500000,47900000,90,89.35000000000001,91.72,92.5,89.35000000000001,91.12,92.11,91.91,91.91,91.52,90.93,90.93,91.52,92.11,92.11,92.11,93.89,93.69,94.48
"est",55,"Europe","Estonia","Estonie",45000,45000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,29,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89
"fsm",56,"Océanie","Micronesia","États fédérés de Micronésie",702,702,,,,110000,110000,100000,100000,110000,110000,100000,105000,106000,106000,114000,115000,116000,114000,115000,113000,,,,156.70000000000002,156.70000000000002,142.45000000000002,142.45000000000002,156.70000000000002,156.70000000000002,142.45000000000002,149.57,151.,151.,162.39000000000001,163.82,165.24,162.39000000000001,163.82,160.97
"usa",57,"Amérique","United States of America","États-Unis",9640000,9640000,299100000,302200000,304500000,304800000,317000000,311700000,315800000,316200000,316200000,321200000,324100000,326500000,326800000,329100000,331000000,332000000,338000000,340000000,345400000,31,31.35,31.59,31.62,32.88,32.33,32.76,32.8,32.8,33.32,33.62,33.87,33.9,34.14,34.34,34.44,35.06,35.27,35.83
"eth",58,"Afrique","Ethiopia","Éthiopie",1106000,1106000,74800000,77400000,79100000,8280000,85000000,87100000,8650000,89200000,89200000,98100000,101800000,104300000,107500000,112100000,115000000,117000000,123400000,126500000,132000000,68,69.98,71.52,7.49,76.85000000000001,78.75,7.82,80.65,80.65,88.7,92.04,94.3,97.2,101.36,103.98,105.79,111.57000000000001,114.38,119.35000000000001
"fji",59,"Océanie","Fiji","Fidji",18000,18000,800000,900000,900000,800000,900000,900000,900000,900000,900000,900000,898000,903000,912000,890000,900000,903000,930000,936000,929000,44,50.,50.,44.44,50.,50.,50.,50.,50.,50.,49.89,50.17,50.67,49.44,50.,50.17,51.67,52.,51.61
"fin",60,"Europe","Finland","Finlande",339000,339000,5300000,5300000,5300000,5300000,5300000,5400000,5400000,5400000,5400000,5500000,5500000,5500000,5600000,5500000,5500000,5500000,5500000,5500000,5600000,16,15.63,15.63,15.63,15.63,15.93,15.93,15.93,15.93,16.22,16.22,16.22,16.52,16.22,16.22,16.22,16.22,16.22,16.52
"fra",61,"Europe","France","France",550000,550000,63601000,63962000,64300000,64669000,64640000,65700000,65900000,66300000,66300000,66800000,66900000,67300000,67600000,67600000,67700000,67850000,67160000,67180000,68980000,116,116.29,116.91,117.58,117.53,119.45,119.82000000000001,120.55,120.55,121.45,121.64,122.36,122.91,122.91,123.09,123.36,122.11,122.15,125.42
"gab",62,"Afrique","Gabon","Gabon",268000,268000,1400000,1300000,1400000,1500000,1500000,1500000,1600000,1600000,1600000,800000,1800000,1800000,2100000,2200000,2200000,2200000,2400000,2400000,2500000,5,4.8500000000000005,5.22,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.97,5.97,5.97,2.99,6.72,6.72,7.84,8.21,8.21,8.21,8.96,8.96,9.33
"gmb",63,"Afrique","Gambia","Gambie",11000,11000,1500000,1500000,1600000,1600000,1700000,1800000,1800000,1900000,1900000,2000000,2100000,2100000,2200000,2300000,2400000,2400000,2700000,2700000,2700000,136,136.36,145.45000000000002,145.45000000000002,154.55,163.64000000000001,163.64000000000001,172.73,172.73,181.82,190.91,190.91,200.,209.09,218.18,218.18,245.45000000000002,245.45000000000002,245.45000000000002
